Topic,Growth_Ratio,Recent_Changepoint,Avg_Severity,Risk_Score,Name,Representation,Count
124,1.1538461538461537,False,1.1884057971014492,1.8394648829431437,124_tcas_ra_capt_climb,"['tcas', 'ra', 'capt', 'climb', 'fl350', 'atc', 'fl370', 'autopilot', 'tcas ra', 'ta']",69
483,0.909090909090909,False,2.0238095238095237,1.8290043290043287,483_pack_apu_pressurization_cabin temperature,"['pack', 'apu', 'pressurization', 'cabin temperature', 'cabin', 'bleeds', 'packs', 'bleed', 'overweight', 'cool']",42
170,0.9523809523809524,False,1.8307692307692307,1.8241758241758241,170_bird_balloon_damage_strike,"['bird', 'balloon', 'damage', 'strike', 'wing', 'bird strike', 'windshield', 'struck', 'fuselage', 'blades']",65
213,0.8695652173913043,False,2.180327868852459,1.817533856022808,213_rudder_steering_right rudder_brake,"['rudder', 'steering', 'right rudder', 'brake', 'pedal', 'pedals', 'nose wheel', 'left rudder', 'directional control', 'directional']",61
416,0.975609756097561,False,1.702127659574468,1.8059159314997404,416_wake turbulence_wake_turbulence_reported encountering,"['wake turbulence', 'wake', 'turbulence', 'reported encountering', 'encountering', 'encountering wake', 'trail', 'a321', 'roll', 'shaker']",47
451,0.9523809523809524,False,1.7777777777777777,1.798941798941799,451_mel_generator_fuel filter_idg,"['mel', 'generator', 'fuel filter', 'idg', 'light', 'bulb', 'fuel quantity', 'fuel', 'quantity', 'egt']",45
56,0.7692307692307692,False,2.654320987654321,1.7901234567901234,56_terrain_gpws_warning_terrain warning,"['terrain', 'gpws', 'warning', 'terrain warning', 'egpws', 'obstacle', 'visual', 'visual approach', 'gpws warning', 'obstacles']",81
251,1.1538461538461537,False,1.087719298245614,1.7813765182186232,251_wentz_1500_ruudy_teb,"['wentz', '1500', 'ruudy', 'teb', '1500 ft', '1700', '1700 ft', 'runway 24', '2000 ft', '2000']",57
219,0.9523809523809524,False,1.7,1.761904761904762,219_windshear_shear_wind shear_wind,"['windshear', 'shear', 'wind shear', 'wind', 'turbulence', 'airspeed', 'severe', 'severe turbulence', 'winds', 'encountered']",60
280,0.8333333333333334,False,2.2181818181818183,1.7575757575757578,280_fuel_fuel quantity_quantity_lbs,"['fuel', 'fuel quantity', 'quantity', 'lbs', 'imbalance', 'tank', 'gauge', 'fuel leak', 'totalizer', 'pounds']",55
284,1.1111111111111112,False,1.1636363636363636,1.7575757575757576,284_gps_jamming_gps jamming_navigation,"['gps', 'jamming', 'gps jamming', 'navigation', 'gps signal', 'signal', 'loss gps', 'vor', 'irs', 'nav']",55
64,0.7843137254901961,False,2.481012658227848,1.7572598659717051,64_terrain_terrain warning_altitude alert_low altitude,"['terrain', 'terrain warning', 'altitude alert', 'low altitude', 'warning', 'gpws', 'alert', 'altitude', 'terrain terrain', '5100']",79
601,0.7692307692307692,False,2.5588235294117645,1.7533936651583708,601_propeller_cylinder_damage_starter,"['propeller', 'cylinder', 'damage', 'starter', 'rope', 'prop', 'road', 'autorotation', 'rpm', 'mag']",34
